ad_id,metric_id,result,severity,confidence,evidence_type,evidence_text,evidence_timestamp,explanation,suggested_correction,correction_type,
,,,,,,,,,,,
LIQ-IV-01,policy_compliance,FALSE,low,medium,policy,The ad makes health-related performance claims. These require substantiation according to FTC and FDA guidelines to ensure they are not misleading," (0:03-0:06, 0:18-0:23)","The available materials support product claims, but they are insufficient for a complete policy and disclosure review.","Provide the intended platform policy, required disclosures, and final transcript for compliance review.",policy_review,
LIQ-IV-01,product_truth,TRUE,none,high,product_page,Liquid I.V.'s clinical research page documents clinical trials and research supporting hydration-related product claims., ,The supplied product source supports the ad's hydration-focused claims.,  , ,
LIQ-IV-01,channel_readiness,TRUE,none,medium,brief,"The video format is well-optimized for mobile-first social platforms (e.g., YouTube Shorts, Instagram Reels).", ,A public YouTube upload alone does not establish whether the creative meets the intended paid placement requirements.,"Provide intended placement, aspect ratio, duration limit, and viewing-context requirements.", ,
LIQ-IV-01,creative_effectiveness,TRUE,none,high,visual,"The product is clearly visible and shown in use, creating a direct product-centered message.", 0:05-0:07,The creative communicates the product and its use clearly enough to function as a strong high-quality reference., , ,
LIQ-IV-01,audience_fit,cannot_assess,none,medium,brief,"The messaging aligns with active consumers looking for functional hydration solutions (e.g., athletes, busy professionals).", ,Audience alignment cannot be reliably judged without knowing the intended audience.,"Add the target audience, need state, and intended motivation to the campaign brief.", ,
LIQ-IV-01,brand_fit,TRUE,none,high,visual,The product packaging is prominent and the end card visibly presents the Liquid I.V. brand logo., ,The ad consistently identifies and reinforces the advertised brand., , ,
LIQ-IV-01,brief_adherence,cannot_assess,none,medium,brief,"No creative brief, required message list, or campaign objective was supplied with the sample.", ,"The ad appears coherent, but adherence to an unspecified brief cannot be established.","Provide the campaign objective, required messages, mandatory elements, and required CTA.", ,
LIQ-IV-01,product_clarity,TRUE,none,high,visual,Liquid I.V. product packaging is clearly visible and the product is demonstrated in use., ,A viewer can readily identify the advertised product.,, ,
LIQ-IV-01,production_readiness,TRUE,none,high,visual,"The supplied sample is described as complete, professionally produced, and includes a visible branded end card.", ,No obvious technical or asset-completeness issue was identified in the supplied review notes., , ,
LIQ-IV-01,cta_clarity,FALSE,medium,medium,visual,The supplied notes confirm a branded end card but do not identify a clear action-oriented CTA., ,Brand visibility alone does not provide the viewer with an explicit next step.,Add an action-oriented end-card CTA such as 'Shop Now' or 'Learn More' if required by the campaign.,edit_recommendation, 
,,,,,,,,,,,
CC-01,policy_compliance,cannot_assess,none,medium,policy,"No platform policy excerpt, medical-claim policy, required disclaimer list, or full transcript was supplied.",,"The product listing supports the described product information, but a full compliance assessment requires policy and disclosure inputs.","Provide the intended platform policy, required disclaimers, and final transcript.",policy_review,
CC-01,product_truth,TRUE,none,high,product_page,The on-screen and voiceover content is described as relevant to and supported by the supplied Copper Compression product listing., ,The available source material supports the product-related messaging identified in the ad., , ,
CC-01,channel_readiness,cannot_assess,none,medium,brief,"The video format is well-optimized for mobile-first social platforms (e.g., YouTube Shorts, Instagram Reels).", ,The creative cannot be conclusively graded for placement readiness without platform and format requirements.,"Provide placement, aspect ratio, duration limit, and sound-on or sound-off requirements.", ,
CC-01,creative_effectiveness,TRUE,none,high,visual,"The product is clearly visible, shown in use, and supported by relevant on-screen text and voiceover.", ,The ad presents a coherent product demonstration and understandable message flow., ,,
CC-01,audience_fit,cannot_assess,none,medium,brief,No formal target-audience definition or campaign brief was supplied.,,"The use case appears relevant to potential knee-support customers, but intended-audience fit cannot be validated against a missing brief.","Provide the intended audience, use case, and key motivation.", ,
CC-01,brand_fit,TRUE,none,high,visual,The product remains central to the creative and the ad ends with visible brand presentation.,,The ad clearly connects the product demonstration to the Copper Compression brand., ,,
CC-01,brief_adherence,cannot_assess,none,medium,brief,"No creative brief, mandatory message list, or required campaign objective was supplied.",,"The ad is product-focused, but adherence cannot be measured against an unavailable brief.","Provide the campaign objective, required claims, mandatory elements, and required CTA.", ,
CC-01,product_clarity,TRUE,none,high,visual,The Copper Compression knee sleeve is clearly visible and demonstrated on the body.," 0:03-0:019, 0:22-0:56",A viewer can readily identify the advertised product and understand its use., ,,
CC-01,production_readiness,TRUE,none,high,visual,"The sample is described as complete, with relevant voiceover, on-screen text, product demonstration, end card, and CTA.",,No obvious technical or asset-readiness issue was identified in the supplied notes., ,,
CC-01,cta_clarity,TRUE,none,high,visual,The sample includes a visible end card and a clear call to action.,0:37-0:56,The viewer is given an explicit and appropriate next step., ,,
,,,,,,,,,,,
KEWPIE-01,policy_compliance,cannot_assess,none,low,policy,"No policy excerpt, required disclosure list, product page, or reliable transcript was supplied.", ,The available notes do not provide enough information for a policy or disclosure assessment.,"Provide the intended platform policy, product source materials, disclosures, and verified transcript.",policy_review,
KEWPIE-01,product_truth,cannot_assess,none,low,product_page,"The voiceover is described as poorly translated and irrelevant, and no product-page source was supplied for claim verification.", ,The claims cannot be reliably identified or checked against authoritative product information.,Provide a verified transcript and product source-of-truth materials., ,
KEWPIE-01,channel_readiness,FALSE,medium,high,visual,"The visuals and voiceover are described as irrelevant to the advertised product, weakening the ad's suitability for a clear consumer placement.", ,The creative does not communicate effectively in its current viewing context.,"Re-edit the ad around relevant product visuals, concise messaging, and platform-appropriate pacing.",edit_recommendation,
KEWPIE-01,creative_effectiveness,FALSE,high,high,visual,"The ad uses irrelevant visuals and poorly translated, irrelevant voiceover, leaving the message difficult to follow.", ,The ad lacks a coherent product-centered hook and message flow.,"Rewrite the voiceover and rebuild the sequence around the product, its use, and one clear value proposition.",rewrite,
KEWPIE-01,audience_fit,cannot_assess,none,medium,brief,No intended target audience or audience need state was supplied., ,"The creative is unclear, but formal audience fit cannot be determined without a target-audience definition.",Provide the intended audience and desired consumer response., ,
KEWPIE-01,brand_fit,FALSE,high,high,visual,"The brand logo appears on the end card, but the preceding content does not clearly connect the brand to a mayonnaise product.", ,"The ad does not establish a coherent relationship between the visuals, product, and brand identity.","Use relevant food and product visuals throughout, and connect the end card to the featured product.",edit_recommendation,
KEWPIE-01,brief_adherence,cannot_assess,none,medium,brief,"No creative brief, required message, or campaign objective was supplied.", ,"The ad likely fails a basic product-awareness objective, but formal brief adherence cannot be scored without the brief.","Provide the campaign objective, required messages, and mandatory CTA.", ,
KEWPIE-01,product_clarity,FALSE,critical,high,visual,"The mayonnaise product is not visible in the video, and the end-card logo does not clarify which product is being advertised.", ,A viewer cannot clearly identify the advertised product.,Show the Kewpie mayonnaise bottle prominently and demonstrate it in a relevant food-use scene.,reshoot_recommendation,
KEWPIE-01,production_readiness,TRUE,none,medium,visual,The video is viewable and contains an end card; the identified failures concern creative relevance and clarity rather than file corruption or technical incompleteness., ,No technical launch-blocking defect was identified from the supplied notes.,,,
KEWPIE-01,cta_clarity,FALSE,high,high,visual,The end card shows the brand logo but provides no clear action or next step for the viewer., ,The viewer is not told what to do after or while watching the ad,"Add a clear, campaign-appropriate CTA such as 'Try Kewpie Mayonnaise' or 'Shop Now' or something relevant",edit_recommendation,
,,,,,,,,,,a,
